publish_status,event_id,color,event_name,event_description,event_start_date,event_start_time,event_end_date,event_end_time,evo_tz,time_ext_type,hide_end_time,event_gmap,yearlong,featured,evo_location_id,location_name,event_location,location_description,location_latitude,location_longitude,location_link,location_img,evo_organizer_id,event_organizer,organizer_description,evcal_org_contact,evcal_org_address,evcal_org_exlink,evo_org_img,evcal_subtitle,learnmore link,image_url,repeatevent,frequency,repeats,repeatby,event_type,event_type_slug,event_type_2,event_type_2_slug,
draft,35944,,"San Valentine's Day","Enjoy us for this special night!!&nbsp;Call us now and booked your table in probably the most romantic setting of Hua Hin. (Click going is not a confirmation) 080-060-6410","02/06/2025","07:13:AM","02/06/2025","07:13:AM",,,no,no,,no,,,,,,,,,,,,,,,,,,,no,,,,,,,,
publish,35834,4bb5d8,"San Valentine's Day","Enjoy us for this special night!!&nbsp;Call us now and booked your table in probably the most romantic setting of Hua Hin. (Click going is not a confirmation) 080-060-6410","02/04/2025","04:00:PM","02/04/2025","09:30:PM","Asia/Bangkok","n",no,no,,no,"13713","Gregal Hua Hin",,"61/14 Nong Kae Hua Hin, Thailand, Prachuap Khiri Khan 77110",,,,"Array","13712","Gregal Hua Hin","",,"61/14 Nong Kae , Hua Hin, Thailand, Prachuap Khiri Khan",,,,,,no,,"1",,,,,,
publish,35698,4bb5d8,"Nang Lay Beach Festival at Triple Tree Beach Resort Cha-Am","The biggest and hottest beach party and music festival March 22\, 2025 TRIPLE TREE BEACH RESORT (near Krua Met Sai)\, Cha-amThe summer breeze and sunshine are the signs of the beginning of the first summer of the year. This March! It's time to invite your friends to party with the hottest beach party and music festival. Nang Lay\, a glamorous summer music festival for those who love the sea\, sand\, wind\, and bikinis.Get in shape and come out to make the sea at Nang Lay ignite because Nang Lay is the only event where you can wear your favorite bikini and show it off on social media without holding back. Nang Lay has selected the best beach lifestyles in this event\, which is a combination of PARTY VIBE and BEACH LIFESTYLE\, further developing the creation of the best experience for participants in every dimension\, whether it's the most popular artists\, the best atmosphere\, the most in-trend activities\, and special food menus that have been specially selected for Nang Lay events.","03/22/2025","02:00:PM","03/22/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"7739","Triple Tree Beach Resort Cha-Am",,"Triple Tree Beach Resort Cha-Am",,,"https://maps.app.goo.gl/xPkBfsF2QjaQUAhG6","Array","7740","Triple Tree Beach Resort Cha-Am","Triple Tree Beach Resort Cha-Am",,,,"25645","Nang Lay Beach Festival @ Triple Tree Beach Resort Cha-Am",,,no,,"1",,"1785,3985,5622,1827,3986,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
publish,35683,4bb5d8,"Doozy at Longlae Market Sam Roi Yot","Come and enjoy the Longlae Night Market in Dolphin Bay Sam Roi Yot Market and listen to country music with Doozy Saturday 1 February Call 090-928-6874 for more information","02/01/2025","07:00:PM","02/01/2025","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"4257","Longlae Market Sam Roi Yot",,"Long Lay Market Sam Roi Yot",,,"https://goo.gl/maps/daeg3qk8qqQeaXfp6","18092","4259","Carabao @ Longlae Market","Longlae Market",,,,"18092","Doozy @ Longlae Market Sam Roi Yot",,,no,"weekly","111",,"4001,1827,","Music Event","4267,","Music/Gigs Calendar",
draft,35507,,"the 7th EMS ASIA 2025","","01/29/2025","07:10:AM","01/29/2025","07:10:AM",,,no,no,,no,,,,,,,,,,,,,,,,,,,no,,,,,,,,
publish,35401,4bb5d8,"Live and DJ Music at Safe House Hua Hin","Live Band Perform Every Night!! Dance with DJ 'Ta Naew' At Safe House Hua Hin\, Dee Chedi! Great DJs! Every day\, let's go! Safe House is open every day - Monday-Sunday\, 6:00p - 1:00a","01/28/2025","09:00:PM","01/28/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"13520","Safe House Hua Hin Pub &amp;amp; Chill",,"",,,"https://maps.app.goo.gl/WZhsCrrngU5kSjSZ6",,,,,,,,,"Live and DJ Music at Safe House Hua Hin",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/Screenshot_20250128_110650_Messenger.jpg,yes,"daily","361",,"4288,3985,2686,1827,3986,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
publish,35304,,"Valentine's Day","Make this Valentine's Day unforgettable with Rick and Zoe performance! &nbsp; Join us for a romantic evening by the beach\, where you will enjoy a delicious dinner and the enchanting sounds of a live band playing soulful guitar and romantic songs. &nbsp; Reservation is highly recommended. Limited seats are available. &nbsp; Event highlights: Exclusive dishes crafted just for this special occasion (appetizer buffet and a choice of main dish and dessert) Welcome drink - a glass of Prosecco Live music - Rick and Zoe\, guitar and vocal duo band. First performance in Hua Hin! &nbsp; Date: Friday\, 14 February 2025 Time: 6:30 - 9:30 pm Place: Anantasila Beach Resort Hua Hin Price: THB 3\,780 per couple Prices are subject to 10% service charge and 7% VAT &nbsp; For inquiries\, or reservations: events@anantasila.com Tel: 032 527 638 Line:&nbsp;https://lin.ee/iGriyhA WhatsApp: 081 648 8364 www.anantasila.com&nbsp;","02/14/2025","06:30:PM","02/14/2025","10:00:PM",,,no,no,,no,,,,,,,,,,,,,,,,"Valentine&#039;s Day at Anantasila Beach Resort ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/474812627_1172656184860435_2102658538134153369_n.jpg,no,,,,"5619,","Valentine's Day","4008,4266,4267,","Music/Gigs Calendar",
publish,35265,4bb5d8,"Jeefar Trio at The Barrel Café","Relax outside at The Barrel Café &amp; Winery Soi 94 next to the G Hotel and listen to The Jeefar Trio perform their acoustic repertoire. Every Friday at 6:00p","01/31/2025","06:00:PM","01/31/2025","09:00:PM","Asia/Bangkok","n",no,no,,no,"13331","The Barrel Caf&eacute;",,"",,,"https://maps.app.goo.gl/NU1rzTe7GXzYU5mp8",,,,,,,,,"JeefarTrio @ The Barrel Caf&eacute; - Acoustic",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/received_1070579984842969.jpeg,yes,"weekly","111",,"1832,3985,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,35256,4bb5d8,"Mr Putthanun at The Barrel Café","Relax outside at The Barrel Café &amp; Winery Soi 94 next to the G Hotel and listen to Mr Putthanun acoustic repertoire. Every Saturday at 6:00p","02/01/2025","06:00:PM","02/01/2025","09:00:PM","Asia/Bangkok","n",no,no,,no,"13331","The Barrel Caf&eacute;",,"",,,"https://maps.app.goo.gl/NU1rzTe7GXzYU5mp8",,,,,,,,,"Mr Putthanun @ The Barrel Caf&eacute; - Acoustic",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/Screenshot_20250126_153435_Facebook.jpg,yes,"weekly","111",,"1832,3985,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,35241,4bb5d8,"Back to the 80's Party at Hua Hin Route 4 Khao Tao","(Former Baan Isaan Bar &amp; Restaurant) with Guestrooms\, Swimming Pool\, Dancefloor &amp; more Live DJ with the Best Music from the 80s Prizes for the Best 80's Outfit! Khao Tao \,Hua Hin District\, Prachuap Khiri Khan 77110 ROUTE4TICKETS / ENTREE 199B / Pers. incl.1 local Beer or Soft Drink Saturday 1.02.25 START 7.00 PM RESERVATION 06-1649 81 89","02/01/2025","07:00:PM","02/01/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"13324","Hua Hin Route 4 Khao Tao",,"",,,"https://maps.app.goo.gl/av1Q7gNKuGxgh7Ci6","Array",,,,,,,,"Back to the 80&#039;s Party @ Hua Hin Route 4 Khao Tao ",,,no,,"1",,"4561,2686,1827,","Music Event",,,
publish,35159,4bb5d8,"Jazz Collaboration @ Sea &amp; Sound Pranburi","Friday\, January 24th\, there will be a special gathering of Jazz musicians. Don't miss it. Starting at 7:30 PM onwards.????????????????Friday\, January 24th\, don't miss this exclusive jazz music collaboration! Starting at 7:30 PM onwards.#seaandsoundvibes #jazzmusic #weekendvibes","01/24/2025","07:30:PM","01/24/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"13301","Sea &amp;amp; Sound Pranburi",,"",,,"https://maps.app.goo.gl/BkjU8cwbq6oagqAQ7","Array",,,,,,,,"Jazz Collaboration @ Sea &amp; Sound Pranburi ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/FB_IMG_1737645138626.jpg,no,,"1",,"2157,1827,","Music Event",,,
draft,34823,4bb5d8,"DJ Dance Music at Pacha Club Hua Hin","Come enjoy yourself at the soft opening of Pacha Club\, the newest dancing and sensation hotspot in downtown Hua Hin\, which offers an electrifying nightlife experience with top local DJs (DJ Nekey\, DJ ViVi and DJ M)\, and a vibrant atmosphere. We're right next to Polo Club in the dark side of Hua Hin downtown nightlife area. Come enlighten us with your good party vibes! We're eager to see you and to have a good time together. Open every night 11p until lateLocated on Naresdamri Rd in the Bintabaht entertainment district.","05/22/2025","10:00:PM","05/22/2025","11:59:PM","Asia/Bangkok","n",yes,no,,no,"13116","Pacha Club",,"",,,"https://maps.app.goo.gl/5PhyZMCEWaVBkBDY8","Array",,,,,,,,"DJ Nekey, DJ ViVi &amp; DJ M @ Pacha Club - House - Techno - EDM",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/FB_IMG_1747901338220.jpg,yes,"daily","365",,"2686,3999,4000,1827,4027,4030,","Techno","4267,","Music/Gigs Calendar",
draft,34818,4bb5d8,"Wong Karn Ban Tueng at Longlae Market Sam Roi Yot","Come and enjoy the Longlae Night Market in Dolphin Bay Sam Roi Yot Market and listen to country music with Wong Karn Ban Tueng Saturday 18 January Call 090-928-6874 for more information","01/18/2025","07:00:PM","01/18/2025","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"4257","Longlae Market Sam Roi Yot",,"Long Lay Market Sam Roi Yot",,,"https://goo.gl/maps/daeg3qk8qqQeaXfp6","18092","4259","Carabao @ Longlae Market","Longlae Market",,,,"18092","Wong Karn Ban Tueng @ Longlae Market Sam Roi Yot",,,no,"weekly","111",,"4001,1827,","Music Event","4267,","Music/Gigs Calendar",
draft,34811,4bb5d8,"Hua Hin Food Festival - Live Music with Sompoht Band at Market Village Mall Plaza","Every Wednesday &amp; Saturday night meet Sompoht Band. Until February 4th\, in front of Market Village Huahin. See you there.Live music every day\, changing. 7p Market Village located on Petchkasem Rd","01/18/2025","07:00:PM","01/18/2025","10:00:PM","Asia/Bangkok","n",no,yes,"no",no,"4581","Market Village Mall",,"Market Village Mall",,,"https://maps.app.goo.gl/cVa3myNBPvzgyLSe7","20857","4582","Market Village Mall","Market Village Mall",,,,"20857","Sompoht Band@ Market Village Mall - Rock - Pop - Blues Rock - Contemporary Pop",,https://huahin.localplus.city/wp-content/uploads/sites/5/2023/11/Sompoht-Band4.jpg,yes,"weekly","25",,"1832,3763,3990,1785,3985,1835,2157,1827,3988,3764,3765,4252,","Soul Music","4267,","Music/Gigs Calendar",
draft,20856,4bb5d8,"Hua Hin Food Festival - Live Music Every Night at Market Village Mall Plaza","Catch some of the finest musical talent in Hua Hin every evening at 6p in front of Market Village in the Plaza. 15 January until 4 February. Market Village located on Petchkasem Rd","01/15/2025","06:00:PM","01/15/2025","10:00:PM","Asia/Bangkok","n",no,yes,"no",no,"4581","Market Village Mall",,"Market Village Mall",,,"https://maps.app.goo.gl/cVa3myNBPvzgyLSe7","20857","4582","Market Village Mall","Market Village Mall",,,,"20857","Live Music @ Market Village Mall - Rock - Pop - Blues Rock - Contemporary Pop - Folk",,https://huahin.localplus.city/wp-content/uploads/sites/5/2023/11/Market-Village-Music.jpg,yes,"daily","25",,"1832,3763,3990,1785,3985,1835,2157,1827,3988,3764,3765,4252,","Soul Music","4267,","Music/Gigs Calendar",
draft,34511,4bb5d8,"Northern Soul at Crusoe's Bar Bistro","'Get ready to groove! Join us every Friday at Crusoe's for a night of Northern Soul and Tamla Motown classics. Dance to the iconic beats that shaped generations\, with live DJ sets and a fantastic atmosphere. Whether you're a seasoned soul dancer or just love great music\, this is the night for you! Every Friday\, from 8 PM onwards. See you on the dance floor at Crusoe's\, Soi 94!' Crusoe's is located just off of Soi 94 east of the railway. Open 7 days a week 8a to 11p.","01/10/2025","08:00:PM","01/10/2025","11:00:PM","Asia/Bangkok","n",no,no,,no,"12865","Crusoe&#039;s Bar &amp;amp; Bistro",,"",,,"https://maps.app.goo.gl/6Qfpr5hmHmVd1quk6","Array",,,,,,,,"Northern Soul at Crusoe&#039;s Bar Bistro - Motown - Soul DJ",,,yes,"weekly","122",,"2686,4253,1827,4252,","Soul Music","4267,","Music/Gigs Calendar",
publish,34485,,"???????????? ???????????????? ???????????????????????????????? ???????????????????? : Bingo Down Under","&nbsp;Get ready for a Not Your Standard Bingo night like no other! ???????????????? ???????? ???????? ???????????? ???????????????? ???????????????????????????? ???????????? ???? ???????????????????? ???????? ???????????????????????? ????????????\, ???????????????????????????????? ???????????????? ???? ???????????????????????????????????? ???????????? ????????????????????\, ???????????????????????????????????????? ????????????????????????\, ???????????? ???????????????????????????????? ???????????????????? ????????????????????. Our host\, Leigh from Surf Radio\, will keep the energy high and the laughs flowing. Don't miss this opportunity to win amazing prizes!&nbsp; &nbsp;Date: January 23\, 2025&nbsp;Host: Leigh from Surf Radio&nbsp;&nbsp;Time: 6PM - 9PM&nbsp;Place: Lido Rooftop at The Standard\, Hua Hin&nbsp;&nbsp;Price: THB 250 net includes one drink.&nbsp; Find us at\,&nbsp;032 535 999&nbsp;STHH.FB@standardhotels.com&nbsp;LINE:&nbsp;https://bit.ly/TheStandardHuaHin-LINE&nbsp;IG:&nbsp;https://bit.ly/TheStandardHuaHin-Instagram","01/23/2025","06:00:PM","01/23/2025","09:00:PM",,,no,no,,no,,,,,,,,,,,,,,,,"Bingo, beers, and a bit of Aussie banter",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/472762891_979486874230656_5559849168710640183_n.jpg,no,,,,"12855,","Game night","4008,4266,","Main Calendar",
publish,34482,4bb5d8,"Hua Hin Fullmoon Chinese New Year Pun","1st Full Moon of 2025Chinese New Year Celebration.New Moonies Restaurant (set menu)set menu 250 baht Crab fried rice\, Mixed veg\, Chicken cashew nuts\, Fried Fish and herbs\, Omelette(set for 4 people) 17.15 for 17.30 startsoi 18/2https://maps.app.goo.gl/wLqtR1syy7gQxHbW9","01/26/2025","05:15:PM","01/26/2025","10:15:AM","Asia/Bangkok","n",no,no,,no,"12853","Four Sahai",,"https://maps.app.goo.gl/wLqtR1syy7gQxHbW9",,,,"Array","8173","Hua Hin Full Moon Hash House Harriers","",,,,,,,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/Hua-Hin-Full-Moon-Chinese-New-Year-Festival.jpg,no,,"1",,"5618,8188,","main events","4266,","Main Calendar",
publish,34420,4bb5d8,"Bangkok Beatles at Market Village Mall Plaza","Catch one of the finest Beatle Tribute bands ever in Thailand. On 30 January they will take the stage at Market Village in the Plaza. Market Village located on Petchkasem Rd","01/30/2025","07:00:PM","01/30/2025","11:00:PM","Asia/Bangkok","n",no,yes,"no",no,"4581","Market Village Mall",,"Market Village Mall",,,"https://maps.app.goo.gl/cVa3myNBPvzgyLSe7","20857","4582","Market Village Mall","Market Village Mall",,,,"20857","Bangkok Beatles @ Market Village Mall - Rock Music",,,no,"daily","1",,"1832,3763,3990,1785,3985,1835,2157,1827,3988,3764,3765,4252,","Soul Music","4267,","Music/Gigs Calendar",
publish,34368,4bb5d8,"Messilly Band at Rhythm 51 Hua Hin Music Bistro","Come and enjoy the pop rock sounds of Messilly Band every Thursday night at 9:30p Rhythm 51 Bar is located in the Soi 51 entertainmentdistrict and open every day 7a to midnight","01/09/2025","09:30:PM","01/09/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"4906","Rhythm 51 Hua Hin Music Bistro",,"Rhythm 51 Hua Hin Music Bistro",,,"https://maps.app.goo.gl/ENzK7TakpwPSGz2n7","21690","4907","Rhythm 51 Hua Hin Music Bistro","Rhythm 51 Hua Hin Music Bistro",,,,"21690","Messilly Band @ Rhythm 51 Hua Hin Music Bistro - Rock, Contemporary Pop ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/received_1289569432076674.jpeg,yes,"weekly","212",,"3985,1827,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
publish,34357,4bb5d8,"Varinda Band at Rungthor51 Restaurant &amp; Bar","Sit back and relax to the sounds of Varinda Band at Rungthor51 bar every Tuesday Night 10:00p to1a. Rungthor51 is located on the corner of Soi 51 and Phetkasem Rd. in Hua Hin Serving food and delicious cocktails every night. Exciting Rock &amp; Pop Music nightly at Rungthor51. Open 7 nights a week - 7p to 1:30a","01/14/2025","10:00:PM","01/14/2025","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"8122","Rungthor 51 Restaurant &amp;amp; Bar",,"Rungthor 51 Restaurant &amp;amp; Bar",,,"https://maps.app.goo.gl/R5K1xNbrELR7WDJQ7","Array","8123","Rungthor 51 Restaurant &amp;amp; Bar","Rungthor 51 Restaurant &amp;amp; Bar",,,,"27408","Varinda Band @ Rungthor51 Restaurant &amp; Bar",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/Messenger_creation_0B0417D4-D735-4481-8143-2336FF7D191E.jpeg,yes,"weekly","121",,"3990,3985,1827,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
publish,34188,,"Chinese New Year","Join us for a dazzling celebration at our Chinese New Year party as we usher in the Year of the Snake 2025! Enjoy a traditional Lion Dance performance\, live music\, fireworks\, and keep on dancing with our special guest\, DJ Rutger from Netherlands. &nbsp; Reservation is highly recommended! &nbsp; Event highlights: Chinese delights - whole roasted pig\, Chinese dumplings\, Chinese steamed buns Traditional Lion Dance performance Live music followed by DJ Rutger performance Fireworks on the beach &nbsp; Date: Wednesday\, 29 January 2025 Time: 6 - 10:30 pm Place: Anantasila Beach Resort Hua Hin Price: THB 1\,480 per adult; THB 740 per child (6-12 years old)\, kids below 6 years old free of charge Prices are subject to 10% service charge and 7% VAT &nbsp; For inquiries\, or reservations: events@anantasila.com Tel: 032 527 638","01/29/2025","06:00:PM","01/29/2025","10:30:PM",,,no,no,,no,,,,,,,,,,,,,,,,"Chinese New Year celebration ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/Chinese-New-Year_2500x1310_ART.jpg,no,,,,"5618,","Chinese New Year","4008,4266,4267,","Music/Gigs Calendar",
publish,29931,4bb5d8,"Keys &amp; Strings at Fame Restaurant &amp; Bar","Sit back and relax with a cocktail and enjoy the sweet vocals of Venice and the smooth guitar of Bank every Saturday &amp; Sunday 8p at Fame Bar &amp; Restaurant. Fame Restaurant and Bar is located on Soi Mae Kep 2 in the Heart of the Soi 94 Music District Fame Bar Serving Food &amp; Drinks 10a until Midnight","04/06/2025","08:00:PM","04/06/2025","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"3957","Fame Restaurant and Bar",,"Soi Mae Kep 2",,,"https://goo.gl/maps/HVcfu8Xo14HjQVw87","17987","3998","Fame Bar &amp;amp; Restaurant","Fame Bar",,,,"17987","Keys &amp; Strings @ Fame Bar Acoustic Pop - Ballads - Contemporary Rock",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/FB_IMG_1747475310752.jpg,yes,"weekly","211",,"1832,3763,3996,3985,1827,","Music Event","4267,","Music/Gigs Calendar",
publish,34176,4bb5d8,"Ganchala Band at Longlae Market Sam Roi Yot","Come and enjoy the Longlae Night Market in Dolphin Bay Sam Roi Yot Market and listen to country music with Ganchala Band Saturday 4 January Call 090-928-6874 for more information","01/04/2025","07:00:PM","01/04/2025","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"4257","Longlae Market Sam Roi Yot",,"Long Lay Market Sam Roi Yot",,,"https://goo.gl/maps/daeg3qk8qqQeaXfp6","18092","4259","Carabao @ Longlae Market","Longlae Market",,,,"18092","Ganchala Band @ Longlae Market Sam Roi Yot",,,no,"weekly","111",,"4001,1827,","Music Event","4267,","Music/Gigs Calendar",
draft,34101,4bb5d8,"Ping Kung Band at See You 51","Every Saturday night at 9:30p Ping Kung Band See You 51 is located in the heart of the Soi 51 Entertainment District.","01/04/2025","09:30:PM","01/04/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"12636","See You 51",,"",,,"https://maps.app.goo.gl/4fqUDsWfVNyc6kEv6","Array",,,,,,,,"Ping Kung Band @ See You 51- Contemporary Pop ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/received_1148558133946221.jpeg,yes,"weekly","112",,"3985,1827,3997,3987,","Thai Rock",,,
publish,34096,4bb5d8,"LISMZ Band at See You 51","Every Thursday night at 9:30p LISMZ Band See You 51 is located in the heart of the Soi 51 Entertainment District.","08/07/2025","09:30:PM","08/07/2025","11:45:PM","Asia/Bangkok","n",no,no,,no,"12636","See You 51",,"",,,"https://maps.app.goo.gl/4fqUDsWfVNyc6kEv6","Array",,,,,,,,"LISMZ Band @ See You 51- Contemporary Pop",,https://huahin.localplus.city/wp-content/uploads/sites/5/2025/01/Messenger_creation_158249EC-78A1-4B6C-986D-8163D2886690.jpeg,yes,"weekly","212",,"3985,1827,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
draft,34013,4bb5d8,"Sompoht Band at Rock Zone Bar &amp; Live Music","Dance to the latest funky\, pop\, rock &amp; Reggae music and enjoy a cold beverage with Sompoht Band at Rock Zone Every Monday night 9p till 11:45p Rock Zone is open Monday thru Saturday 6p till Midnight","12/30/2024","09:00:PM","12/30/2024","11:45:PM","Asia/Bangkok","n",no,yes,"no",no,"3937","Rock Zone Bar &amp;amp; Live Music","West Railroad Mae Kep","West Railroad 100 meters north of Soi 94","12.3449","99.57000","https://goo.gl/maps/EX6tyP3SZrsJWDqa7","22525","3952","Friends Band at Rock Zone Bar &amp;amp; Live Music","",,,,"17734","Sompoht Band - Rock - Funky Contemporary Pop ",,https://huahin.localplus.city/wp-content/uploads/sites/5/2024/12/FB_IMG_1735496050722.jpg,yes,"weekly","122",,"4562,4288,3985,1827,3997,","Thai Pop",,,
draft,34012,4bb5d8,"Friends Help Friends Benefit Concert at Rock Zone Rock Bar Hua Hin (Copy)","Sunday 5 November The Hua Hin Musicians Club presents a benefit concert featuring 7 bands to raise funds to help two musicians in need of financial assistance for medical\, living and housing expenses. The music portion of the event starts at 6p and will go until midnight. There will be live auctions of 15 one of a kind\, limited edition\, commemorative T-shirts\, free haircuts from 3p until 8p and plenty of love and generosity to go around. The music line-up: 6:00p - 6.30p It's Me Band6:45p - 7:15p Sompoht Band7.30p - 8.00p Thairish Band8:15p - 8:45p Entertainment Band9:00p - 9:30p 491 Blues Band9.45p -10.15p JR Band10.30p - 11.45p The Answer Band","11/05/2023","06:00:PM","11/05/2023","11:45:PM","Asia/Bangkok",,no,yes,"no",no,"3937","Rock Zone Bar &amp;amp; Live Music","West Railroad Mae Kep","West Railroad 100 meters north of Soi 94","12.3449","99.57000","https://goo.gl/maps/EX6tyP3SZrsJWDqa7","22525","4542","Hua Hin Musicians Club","Hua Hin Musicians Club",,,,"20131","Friends Help Friends Benefit Concert @ Rock Zone Rock Bar - Rock - Blues Rock - Hard Rock - Folk",,https://huahin.localplus.city/wp-content/uploads/sites/5/2023/10/Friends-Help-Friends-Poster-3.png,no,,"1",,"1829,3990,1785,3991,3989,1827,3988,3765,","Rock &amp; Roll","4266,4267,","Music/Gigs Calendar",
draft,34008,4bb5d8,"New Year's Eve with Holiday Band at Longlae Market Sam Roi Yot","New Year's Eve Countdown!! Come and enjoy the Longlae Night Market in Dolphin Bay Sam Roi Yot Market and listen to Holiday Band Tuesday 31 December. Special Guests P4U Never Mild and Lamai Band Call 090-928-6874 for more information","12/31/2024","07:00:PM","12/31/2024","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"4257","Longlae Market Sam Roi Yot",,"Long Lay Market Sam Roi Yot",,,"https://goo.gl/maps/daeg3qk8qqQeaXfp6","18092","4259","Carabao @ Longlae Market","Longlae Market",,,,"18092","Holiday Band @ Longlae Market Sam Roi Yot",,,no,"weekly","111",,"3990,1827,3988,3765,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
draft,34006,4bb5d8,"Chada Band at Longlae Market Sam Roi Yot","Come and enjoy the Longlae Night Market in Dolphin Bay Sam Roi Yot Market and listen to Chada Band Monday 30 December Call 090-928-6874 for more information","12/30/2024","07:00:PM","12/30/2024","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"4257","Longlae Market Sam Roi Yot",,"Long Lay Market Sam Roi Yot",,,"https://goo.gl/maps/daeg3qk8qqQeaXfp6","18092","4259","Carabao @ Longlae Market","Longlae Market",,,,"18092","Chada Band @ Longlae Market Sam Roi Yot",,,no,"weekly","111",,"3990,1827,3988,3765,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
publish,34001,4bb5d8,"Smoke Duck Band at Longlae Market Sam Roi Yot","Come and enjoy the Longlae Night Market in Dolphin Bay Sam Roi Yot Market and listen to Smoke Duck Band Saturday 4 April Delicious food\, cold beverages and a beautiful beach setting. Bring your chairs...but if not there are rentals for 50 baht. Call 090-928-6874 for more information","04/05/2025","07:00:PM","04/05/2025","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"4257","Longlae Market Sam Roi Yot",,"Long Lay Market Sam Roi Yot",,,"https://goo.gl/maps/daeg3qk8qqQeaXfp6","18092","4259","Carabao @ Longlae Market","Longlae Market",,,,"18092","Smoke Duck Band@ Longlae Market Sam Roi Yot",,https://huahin.localplus.city/wp-content/uploads/sites/5/2024/12/Messenger_creation_7B989B48-8001-437A-B080-901A5C732804.jpeg,no,"weekly","111",,"3990,1827,3988,3765,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
publish,33991,4bb5d8,"New Year's Eve Countdown with Pang &amp; Meaw and DJ Jak at Cheers Restaurant &amp; Bar","New Year's Eve Countdown with Pang &amp; Meaw and DJ Jak 8:30p Cheers Restaurant and Bar offers a delicious menu of Western and Thai food as well as a large selection of wine and domestic and imported beers. Open everyday from 9a until Midnight","12/31/2024","08:30:PM","12/31/2024","11:00:PM","Asia/Bangkok","n",no,yes,"no",no,"3945","Cheers Restaurant &amp;amp; Bar",,"Soi Mae Kep 2",,,"https://goo.gl/maps/JnwaUdLxC3HtnNKA9","17859","3948","Cheers Restaurant &amp;amp; Bar","Cheers Restaurant &amp;amp; Bar",,,,"17859","New Year&#039;s Eve Countdown with Pang &amp; Meaw and DJ Jak @ Cheers Restaurant - Acoustic Pop - Rock - R&amp;B - Soul",,,no,"weekly","21",,"1832,3763,3985,1827,3764,4252,3997,","Thai Pop","4267,","Music/Gigs Calendar",
draft,33984,4bb5d8,"1000 Rum Kuiburi Band at Longlae Market Sam Roi Yot","Come and enjoy the Longlae Night Market in Dolphin Bay Sam Roi Yot Market and listen to 1000 Rum Kuiburi Band Saturday 28 December Call 090-928-6874 for more information","12/28/2024","07:00:PM","12/28/2024","11:30:PM","Asia/Bangkok","n",no,yes,"no",no,"4257","Longlae Market Sam Roi Yot",,"Long Lay Market Sam Roi Yot",,,"https://goo.gl/maps/daeg3qk8qqQeaXfp6","18092","4259","Carabao @ Longlae Market","Longlae Market",,,,"18092","1000 Rum Kuiburi Band @ Longlae Market Sam Roi Yot",,,yes,"weekly","111",,"3990,1827,3988,3765,3997,3987,","Thai Rock","4267,","Music/Gigs Calendar",
